stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
DKI3,86.0,58.0,86.0,38.0,64.0,80.0,86.0,PM25,SEDANG
DKI3,93.0,64.0,93.0,25.0,62.0,86.0,93.0,PM25,SEDANG
DKI3,89.0,59.0,89.0,24.0,35.0,77.0,89.0,PM25,SEDANG
DKI3,72.0,51.0,72.0,17.0,57.0,68.0,72.0,PM25,SEDANG
DKI3,78.0,36.0,78.0,20.0,38.0,65.0,78.0,PM25,SEDANG
DKI3,82.0,52.0,82.0,20.0,56.0,65.0,82.0,PM25,SEDANG
DKI3,92.0,70.0,92.0,19.0,38.0,67.0,92.0,PM25,SEDANG
DKI3,112.0,84.0,112.0,32.0,54.0,67.0,112.0,PM25,TIDAK SEHAT
DKI3,126.0,89.0,126.0,47.0,61.0,104.0,126.0,PM25,TIDAK SEHAT
DKI3,90.0,64.0,90.0,19.0,31.0,75.0,90.0,PM25,SEDANG
DKI3,79.0,57.0,79.0,34.0,39.0,71.0,79.0,PM25,SEDANG
DKI5,126.0,73.0,38.0,26.0,46.0,34.0,126.0,PM25,TIDAK SEHAT
DKI3,70.0,53.0,40.0,14.0,55.0,25.0,70.0,PM25,SEDANG
DKI3,53.0,32.0,40.0,11.0,42.0,19.0,53.0,PM25,SEDANG
DKI5,59.0,36.0,40.0,14.0,47.0,24.0,59.0,PM25,SEDANG
DKI3,51.0,29.0,40.0,14.0,45.0,35.0,51.0,PM25,SEDANG
DKI2,53.0,34.0,40.0,8.0,57.0,15.0,57.0,O3,SEDANG
DKI2,55.0,33.0,40.0,10.0,57.0,13.0,57.0,O3,SEDANG
DKI2,44.0,26.0,39.0,10.0,54.0,17.0,54.0,O3,SEDANG
DKI4,57.0,33.0,40.0,13.0,47.0,22.0,57.0,PM25,SEDANG
DKI3,64.0,50.0,40.0,13.0,49.0,16.0,64.0,PM25,SEDANG
DKI3,57.0,38.0,43.0,13.0,35.0,17.0,57.0,PM25,SEDANG
DKI3,98.0,63.0,43.0,16.0,33.0,42.0,98.0,PM25,SEDANG
DKI3,89.0,59.0,40.0,12.0,40.0,16.0,89.0,PM25,SEDANG
DKI3,73.0,55.0,40.0,11.0,42.0,19.0,73.0,PM25,SEDANG
DKI4,66.0,42.0,40.0,13.0,37.0,25.0,66.0,PM25,SEDANG
DKI4,63.0,43.0,40.0,11.0,42.0,26.0,63.0,PM25,SEDANG
DKI5,71.0,46.0,40.0,25.0,41.0,37.0,71.0,PM25,SEDANG
DKI3,70.0,53.0,44.0,13.0,41.0,29.0,70.0,PM25,SEDANG
DKI5,52.0,32.0,42.0,20.0,41.0,33.0,52.0,PM25,SEDANG
DKI4,63.0,45.0,39.0,13.0,53.0,20.0,63.0,PM25,SEDANG
DKI5,52.0,36.0,39.0,10.0,48.0,17.0,52.0,PM25,SEDANG
DKI3,103.0,68.0,42.0,22.0,41.0,40.0,103.0,PM25,TIDAK SEHAT
DKI3,90.0,66.0,40.0,16.0,54.0,23.0,90.0,PM25,SEDANG
DKI4,61.0,42.0,40.0,10.0,33.0,16.0,61.0,PM25,SEDANG
DKI3,54.0,31.0,43.0,12.0,45.0,23.0,54.0,PM25,SEDANG
DKI4,75.0,48.0,43.0,13.0,40.0,20.0,75.0,PM25,SEDANG
DKI4,94.0,59.0,44.0,15.0,50.0,31.0,94.0,PM25,SEDANG
DKI4,113.0,68.0,40.0,18.0,60.0,18.0,113.0,PM25,TIDAK SEHAT
DKI3,97.0,62.0,45.0,13.0,38.0,18.0,97.0,PM25,SEDANG
DKI4,81.0,55.0,50.0,17.0,53.0,28.0,81.0,PM25,SEDANG
DKI3,83.0,59.0,46.0,21.0,50.0,35.0,83.0,PM25,SEDANG
DKI4,103.0,62.0,45.0,19.0,49.0,31.0,103.0,PM25,TIDAK SEHAT
DKI2,81.0,65.0,54.0,16.0,59.0,30.0,81.0,PM25,SEDANG
DKI4,95.0,71.0,59.0,25.0,52.0,42.0,95.0,PM25,SEDANG
DKI5,103.0,64.0,41.0,23.0,51.0,31.0,103.0,PM25,TIDAK SEHAT
DKI4,81.0,58.0,40.0,16.0,41.0,22.0,81.0,PM25,SEDANG
DKI3,63.0,51.0,41.0,15.0,33.0,22.0,63.0,PM25,SEDANG
DKI5,91.0,60.0,42.0,21.0,42.0,39.0,91.0,PM25,SEDANG
DKI4,53.0,38.0,39.0,9.0,43.0,21.0,53.0,PM25,SEDANG
DKI3,99.0,66.0,41.0,19.0,45.0,25.0,99.0,PM25,SEDANG
DKI3,72.0,53.0,41.0,13.0,41.0,25.0,72.0,PM25,SEDANG
DKI3,73.0,52.0,41.0,16.0,37.0,21.0,73.0,PM25,SEDANG
DKI5,92.0,55.0,42.0,18.0,49.0,34.0,92.0,PM25,SEDANG
DKI4,101.0,67.0,46.0,13.0,57.0,36.0,101.0,PM25,TIDAK SEHAT
DKI4,123.0,78.0,55.0,20.0,53.0,45.0,123.0,PM25,TIDAK SEHAT
DKI4,125.0,78.0,45.0,16.0,74.0,40.0,125.0,PM25,TIDAK SEHAT
DKI5,96.0,73.0,42.0,14.0,59.0,35.0,96.0,PM25,SEDANG
DKI3,106.0,65.0,44.0,16.0,56.0,31.0,106.0,PM25,TIDAK SEHAT
DKI3,118.0,81.0,41.0,16.0,51.0,17.0,118.0,PM25,TIDAK SEHAT
DKI3,93.0,62.0,41.0,15.0,43.0,18.0,93.0,PM25,SEDANG
DKI3,77.0,51.0,41.0,11.0,44.0,16.0,77.0,PM25,SEDANG
DKI3,64.0,43.0,40.0,11.0,37.0,15.0,64.0,PM25,SEDANG
DKI4,68.0,38.0,41.0,9.0,41.0,17.0,68.0,PM25,SEDANG
DKI4,83.0,57.0,42.0,19.0,53.0,28.0,83.0,PM25,SEDANG
DKI4,91.0,62.0,49.0,13.0,63.0,33.0,91.0,PM25,SEDANG
DKI5,78.0,57.0,43.0,15.0,71.0,31.0,78.0,PM25,SEDANG
DKI5,91.0,65.0,48.0,19.0,67.0,37.0,91.0,PM25,SEDANG
DKI4,76.0,59.0,42.0,15.0,55.0,30.0,76.0,PM25,SEDANG
DKI4,69.0,56.0,43.0,18.0,48.0,25.0,69.0,PM25,SEDANG
DKI3,52.0,28.0,41.0,11.0,43.0,19.0,52.0,PM25,SEDANG
DKI3,70.0,51.0,44.0,11.0,42.0,19.0,70.0,PM25,SEDANG
DKI4,67.0,39.0,42.0,9.0,57.0,22.0,67.0,PM25,SEDANG
DKI3,103.0,68.0,43.0,30.0,49.0,37.0,103.0,PM25,TIDAK SEHAT
DKI3,85.0,61.0,43.0,15.0,59.0,28.0,85.0,PM25,SEDANG
DKI2,61.0,43.0,43.0,10.0,36.0,18.0,61.0,PM25,SEDANG
DKI2,52.0,30.0,42.0,11.0,43.0,19.0,52.0,PM25,SEDANG
DKI2,57.0,39.0,51.0,12.0,40.0,22.0,57.0,PM25,SEDANG
